[Threads] Utilisation de 44 thread(s) sur 64 disponibles
[Reprise] Mode force active : les combinaisons deja presentes seront recalculees
=== DATASET: fb15k237 | rank:200 | lambda_A:0.1 | lambda_R:0.1 ===
[Config] maxIter:20 | conv:1.0e-06 | threads:44
[Data]   n_entities:14541 | n_relations:237 | total_nnz:310116
[Data]   nnz:310116 | import_time:0.04 s
[Eval]   positifs:2000 | neg/pos:1 | folds:10 | mode:cross-validation CSR echantillonnee
INFO : RESCAL : [  0] fit: 0.28735 | delta: 2.9e-01 | secs: 20.79849
INFO : RESCAL : [  1] fit: 0.40417 | delta: 1.2e-01 | secs: 18.84571
INFO : RESCAL : [  2] fit: 0.41765 | delta: 1.3e-02 | secs: 21.85956
INFO : RESCAL : [  3] fit: 0.42208 | delta: 4.4e-03 | secs: 18.46353
INFO : RESCAL : [  4] fit: 0.42417 | delta: 2.1e-03 | secs: 22.13698
INFO : RESCAL : [  5] fit: 0.42533 | delta: 1.2e-03 | secs: 19.10539
INFO : RESCAL : [  6] fit: 0.42607 | delta: 7.4e-04 | secs: 21.80205
INFO : RESCAL : [  7] fit: 0.42664 | delta: 5.6e-04 | secs: 19.23342
INFO : RESCAL : [  8] fit: 0.42709 | delta: 4.6e-04 | secs: 21.39312
INFO : RESCAL : [  9] fit: 0.42746 | delta: 3.7e-04 | secs: 18.81992
INFO : RESCAL : [ 10] fit: 0.42776 | delta: 3.0e-04 | secs: 21.56435
INFO : RESCAL : [ 11] fit: 0.42800 | delta: 2.5e-04 | secs: 18.90789
INFO : RESCAL : [ 12] fit: 0.42821 | delta: 2.1e-04 | secs: 21.93140
INFO : RESCAL : [ 13] fit: 0.42839 | delta: 1.8e-04 | secs: 19.09540
INFO : RESCAL : [ 14] fit: 0.42854 | delta: 1.6e-04 | secs: 21.53987
INFO : RESCAL : [ 15] fit: 0.42868 | delta: 1.4e-04 | secs: 19.17107
INFO : RESCAL : [ 16] fit: 0.42880 | delta: 1.2e-04 | secs: 21.58143
INFO : RESCAL : [ 17] fit: 0.42891 | delta: 1.1e-04 | secs: 19.07006
INFO : RESCAL : [ 18] fit: 0.42900 | delta: 9.6e-05 | secs: 21.83078
INFO : RESCAL : [ 19] fit: 0.42909 | delta: 8.7e-05 | secs: 18.91059
[Fold 0] AUC-PR: 0.969681
INFO : RESCAL : [  0] fit: 0.29122 | delta: 2.9e-01 | secs: 18.71454
INFO : RESCAL : [  1] fit: 0.40369 | delta: 1.1e-01 | secs: 21.59877
INFO : RESCAL : [  2] fit: 0.41699 | delta: 1.3e-02 | secs: 19.16189
INFO : RESCAL : [  3] fit: 0.42178 | delta: 4.8e-03 | secs: 22.06743
INFO : RESCAL : [  4] fit: 0.42402 | delta: 2.2e-03 | secs: 18.89421
INFO : RESCAL : [  5] fit: 0.42531 | delta: 1.3e-03 | secs: 22.05259
INFO : RESCAL : [  6] fit: 0.42616 | delta: 8.5e-04 | secs: 19.15821
INFO : RESCAL : [  7] fit: 0.42678 | delta: 6.2e-04 | secs: 21.67212
INFO : RESCAL : [  8] fit: 0.42729 | delta: 5.1e-04 | secs: 19.16671
INFO : RESCAL : [  9] fit: 0.42773 | delta: 4.4e-04 | secs: 21.20129
INFO : RESCAL : [ 10] fit: 0.42812 | delta: 3.9e-04 | secs: 18.77433
INFO : RESCAL : [ 11] fit: 0.42844 | delta: 3.2e-04 | secs: 21.51354
INFO : RESCAL : [ 12] fit: 0.42870 | delta: 2.6e-04 | secs: 18.82983
INFO : RESCAL : [ 13] fit: 0.42890 | delta: 2.0e-04 | secs: 21.88975
INFO : RESCAL : [ 14] fit: 0.42906 | delta: 1.7e-04 | secs: 18.79050
INFO : RESCAL : [ 15] fit: 0.42921 | delta: 1.4e-04 | secs: 21.85392
INFO : RESCAL : [ 16] fit: 0.42933 | delta: 1.2e-04 | secs: 19.08623
INFO : RESCAL : [ 17] fit: 0.42944 | delta: 1.1e-04 | secs: 21.86079
INFO : RESCAL : [ 18] fit: 0.42953 | delta: 9.4e-05 | secs: 18.35787
INFO : RESCAL : [ 19] fit: 0.42961 | delta: 8.2e-05 | secs: 21.84373
[Fold 1] AUC-PR: 0.983174
INFO : RESCAL : [  0] fit: 0.29130 | delta: 2.9e-01 | secs: 18.76297
INFO : RESCAL : [  1] fit: 0.40255 | delta: 1.1e-01 | secs: 21.80491
INFO : RESCAL : [  2] fit: 0.41574 | delta: 1.3e-02 | secs: 18.65640
INFO : RESCAL : [  3] fit: 0.42034 | delta: 4.6e-03 | secs: 21.73154
INFO : RESCAL : [  4] fit: 0.42256 | delta: 2.2e-03 | secs: 18.84111
INFO : RESCAL : [  5] fit: 0.42385 | delta: 1.3e-03 | secs: 21.70735
INFO : RESCAL : [  6] fit: 0.42472 | delta: 8.7e-04 | secs: 19.26853
INFO : RESCAL : [  7] fit: 0.42535 | delta: 6.3e-04 | secs: 21.46623
INFO : RESCAL : [  8] fit: 0.42582 | delta: 4.7e-04 | secs: 18.91129
INFO : RESCAL : [  9] fit: 0.42617 | delta: 3.6e-04 | secs: 21.40057
INFO : RESCAL : [ 10] fit: 0.42646 | delta: 2.9e-04 | secs: 19.09089
INFO : RESCAL : [ 11] fit: 0.42670 | delta: 2.4e-04 | secs: 21.61407
INFO : RESCAL : [ 12] fit: 0.42690 | delta: 2.0e-04 | secs: 18.80219
INFO : RESCAL : [ 13] fit: 0.42707 | delta: 1.7e-04 | secs: 21.92759
INFO : RESCAL : [ 14] fit: 0.42721 | delta: 1.5e-04 | secs: 18.82777
INFO : RESCAL : [ 15] fit: 0.42734 | delta: 1.3e-04 | secs: 21.63956
INFO : RESCAL : [ 16] fit: 0.42745 | delta: 1.1e-04 | secs: 19.07698
INFO : RESCAL : [ 17] fit: 0.42755 | delta: 9.9e-05 | secs: 21.79761
INFO : RESCAL : [ 18] fit: 0.42764 | delta: 9.0e-05 | secs: 18.93231
INFO : RESCAL : [ 19] fit: 0.42772 | delta: 8.1e-05 | secs: 21.36473
[Fold 2] AUC-PR: 0.988047
INFO : RESCAL : [  0] fit: 0.29085 | delta: 2.9e-01 | secs: 18.50316
INFO : RESCAL : [  1] fit: 0.40513 | delta: 1.1e-01 | secs: 21.48185
INFO : RESCAL : [  2] fit: 0.41805 | delta: 1.3e-02 | secs: 18.42101
INFO : RESCAL : [  3] fit: 0.42284 | delta: 4.8e-03 | secs: 21.92580
INFO : RESCAL : [  4] fit: 0.42508 | delta: 2.2e-03 | secs: 18.89845
INFO : RESCAL : [  5] fit: 0.42628 | delta: 1.2e-03 | secs: 21.37849
INFO : RESCAL : [  6] fit: 0.42702 | delta: 7.4e-04 | secs: 19.11777
INFO : RESCAL : [  7] fit: 0.42758 | delta: 5.6e-04 | secs: 21.49272
INFO : RESCAL : [  8] fit: 0.42804 | delta: 4.6e-04 | secs: 18.99188
INFO : RESCAL : [  9] fit: 0.42845 | delta: 4.0e-04 | secs: 21.59920
INFO : RESCAL : [ 10] fit: 0.42879 | delta: 3.4e-04 | secs: 18.76675
INFO : RESCAL : [ 11] fit: 0.42908 | delta: 3.0e-04 | secs: 21.45181
INFO : RESCAL : [ 12] fit: 0.42934 | delta: 2.6e-04 | secs: 18.96907
INFO : RESCAL : [ 13] fit: 0.42956 | delta: 2.2e-04 | secs: 21.51459
INFO : RESCAL : [ 14] fit: 0.42974 | delta: 1.9e-04 | secs: 18.99957
INFO : RESCAL : [ 15] fit: 0.42990 | delta: 1.6e-04 | secs: 21.70601
INFO : RESCAL : [ 16] fit: 0.43005 | delta: 1.4e-04 | secs: 18.73519
INFO : RESCAL : [ 17] fit: 0.43017 | delta: 1.3e-04 | secs: 21.22050
INFO : RESCAL : [ 18] fit: 0.43029 | delta: 1.2e-04 | secs: 19.17789
INFO : RESCAL : [ 19] fit: 0.43039 | delta: 1.0e-04 | secs: 21.36256
[Fold 3] AUC-PR: 0.972434
INFO : RESCAL : [  0] fit: 0.28904 | delta: 2.9e-01 | secs: 18.93291
INFO : RESCAL : [  1] fit: 0.40267 | delta: 1.1e-01 | secs: 21.73927
INFO : RESCAL : [  2] fit: 0.41583 | delta: 1.3e-02 | secs: 19.35840
INFO : RESCAL : [  3] fit: 0.42095 | delta: 5.1e-03 | secs: 21.69833
INFO : RESCAL : [  4] fit: 0.42342 | delta: 2.5e-03 | secs: 19.09784
INFO : RESCAL : [  5] fit: 0.42472 | delta: 1.3e-03 | secs: 21.97702
INFO : RESCAL : [  6] fit: 0.42549 | delta: 7.7e-04 | secs: 19.35973
INFO : RESCAL : [  7] fit: 0.42603 | delta: 5.4e-04 | secs: 21.51505
INFO : RESCAL : [  8] fit: 0.42646 | delta: 4.3e-04 | secs: 18.80988
INFO : RESCAL : [  9] fit: 0.42681 | delta: 3.5e-04 | secs: 21.56687
INFO : RESCAL : [ 10] fit: 0.42710 | delta: 2.9e-04 | secs: 19.24703
INFO : RESCAL : [ 11] fit: 0.42733 | delta: 2.4e-04 | secs: 21.38720
INFO : RESCAL : [ 12] fit: 0.42753 | delta: 2.0e-04 | secs: 18.86014
INFO : RESCAL : [ 13] fit: 0.42771 | delta: 1.7e-04 | secs: 21.73991
INFO : RESCAL : [ 14] fit: 0.42786 | delta: 1.5e-04 | secs: 19.05408
INFO : RESCAL : [ 15] fit: 0.42799 | delta: 1.3e-04 | secs: 21.44707
