[Threads] Utilisation de 28 thread(s) sur 64 disponibles
[Reprise] Mode force active : les combinaisons deja presentes seront recalculees
=== DATASET: fb15k237 | rank:200 | lambda_A:0.1 | lambda_R:0.1 ===
[Config] maxIter:20 | conv:1.0e-06 | threads:28
[Data]   n_entities:14541 | n_relations:237 | total_nnz:310116
[Data]   nnz:310116 | import_time:0.04 s
[Eval]   positifs:2000 | neg/pos:1 | folds:10 | mode:cross-validation CSR echantillonnee
INFO : RESCAL : [  0] fit: 0.29154 | delta: 2.9e-01 | secs: 16.95645
INFO : RESCAL : [  1] fit: 0.40351 | delta: 1.1e-01 | secs: 17.58365
INFO : RESCAL : [  2] fit: 0.41647 | delta: 1.3e-02 | secs: 17.73860
INFO : RESCAL : [  3] fit: 0.42132 | delta: 4.8e-03 | secs: 17.72870
INFO : RESCAL : [  4] fit: 0.42372 | delta: 2.4e-03 | secs: 16.91733
INFO : RESCAL : [  5] fit: 0.42516 | delta: 1.4e-03 | secs: 17.79190
INFO : RESCAL : [  6] fit: 0.42606 | delta: 9.0e-04 | secs: 17.50358
INFO : RESCAL : [  7] fit: 0.42663 | delta: 5.8e-04 | secs: 17.28461
INFO : RESCAL : [  8] fit: 0.42704 | delta: 4.1e-04 | secs: 17.73266
INFO : RESCAL : [  9] fit: 0.42735 | delta: 3.1e-04 | secs: 17.57985
INFO : RESCAL : [ 10] fit: 0.42761 | delta: 2.6e-04 | secs: 17.79652
INFO : RESCAL : [ 11] fit: 0.42783 | delta: 2.2e-04 | secs: 17.45907
INFO : RESCAL : [ 12] fit: 0.42802 | delta: 1.9e-04 | secs: 17.78070
INFO : RESCAL : [ 13] fit: 0.42818 | delta: 1.6e-04 | secs: 17.39965
INFO : RESCAL : [ 14] fit: 0.42832 | delta: 1.4e-04 | secs: 17.65287
INFO : RESCAL : [ 15] fit: 0.42845 | delta: 1.2e-04 | secs: 17.82715
INFO : RESCAL : [ 16] fit: 0.42856 | delta: 1.1e-04 | secs: 17.17115
INFO : RESCAL : [ 17] fit: 0.42865 | delta: 9.5e-05 | secs: 17.53184
INFO : RESCAL : [ 18] fit: 0.42874 | delta: 8.6e-05 | secs: 17.53782
INFO : RESCAL : [ 19] fit: 0.42881 | delta: 7.6e-05 | secs: 17.26001
[Fold 0] AUC-PR: 0.977653
INFO : RESCAL : [  0] fit: 0.29085 | delta: 2.9e-01 | secs: 17.33094
INFO : RESCAL : [  1] fit: 0.40267 | delta: 1.1e-01 | secs: 17.69425
INFO : RESCAL : [  2] fit: 0.41596 | delta: 1.3e-02 | secs: 17.82942
INFO : RESCAL : [  3] fit: 0.42095 | delta: 5.0e-03 | secs: 16.96213
INFO : RESCAL : [  4] fit: 0.42334 | delta: 2.4e-03 | secs: 18.05374
INFO : RESCAL : [  5] fit: 0.42476 | delta: 1.4e-03 | secs: 16.76982
INFO : RESCAL : [  6] fit: 0.42568 | delta: 9.3e-04 | secs: 17.05721
INFO : RESCAL : [  7] fit: 0.42632 | delta: 6.4e-04 | secs: 17.11825
INFO : RESCAL : [  8] fit: 0.42680 | delta: 4.8e-04 | secs: 17.83078
INFO : RESCAL : [  9] fit: 0.42718 | delta: 3.8e-04 | secs: 17.41514
INFO : RESCAL : [ 10] fit: 0.42748 | delta: 3.0e-04 | secs: 17.23776
INFO : RESCAL : [ 11] fit: 0.42771 | delta: 2.3e-04 | secs: 17.10975
INFO : RESCAL : [ 12] fit: 0.42790 | delta: 1.9e-04 | secs: 17.36326
INFO : RESCAL : [ 13] fit: 0.42806 | delta: 1.6e-04 | secs: 16.94395
INFO : RESCAL : [ 14] fit: 0.42820 | delta: 1.4e-04 | secs: 17.99759
INFO : RESCAL : [ 15] fit: 0.42832 | delta: 1.2e-04 | secs: 17.26028
INFO : RESCAL : [ 16] fit: 0.42843 | delta: 1.1e-04 | secs: 17.87245
INFO : RESCAL : [ 17] fit: 0.42853 | delta: 9.8e-05 | secs: 16.91337
INFO : RESCAL : [ 18] fit: 0.42862 | delta: 8.8e-05 | secs: 17.36573
INFO : RESCAL : [ 19] fit: 0.42869 | delta: 7.9e-05 | secs: 17.37315
[Fold 1] AUC-PR: 0.977964
INFO : RESCAL : [  0] fit: 0.28950 | delta: 2.9e-01 | secs: 17.09377
INFO : RESCAL : [  1] fit: 0.40295 | delta: 1.1e-01 | secs: 16.76825
INFO : RESCAL : [  2] fit: 0.41602 | delta: 1.3e-02 | secs: 17.58185
INFO : RESCAL : [  3] fit: 0.42080 | delta: 4.8e-03 | secs: 17.08084
INFO : RESCAL : [  4] fit: 0.42320 | delta: 2.4e-03 | secs: 17.52872
INFO : RESCAL : [  5] fit: 0.42442 | delta: 1.2e-03 | secs: 16.86433
INFO : RESCAL : [  6] fit: 0.42521 | delta: 7.9e-04 | secs: 16.92326
INFO : RESCAL : [  7] fit: 0.42573 | delta: 5.2e-04 | secs: 17.25987
INFO : RESCAL : [  8] fit: 0.42615 | delta: 4.2e-04 | secs: 16.95348
INFO : RESCAL : [  9] fit: 0.42647 | delta: 3.2e-04 | secs: 17.48273
INFO : RESCAL : [ 10] fit: 0.42675 | delta: 2.8e-04 | secs: 17.88226
INFO : RESCAL : [ 11] fit: 0.42698 | delta: 2.3e-04 | secs: 17.31923
INFO : RESCAL : [ 12] fit: 0.42718 | delta: 2.0e-04 | secs: 16.80726
INFO : RESCAL : [ 13] fit: 0.42735 | delta: 1.7e-04 | secs: 17.38243
INFO : RESCAL : [ 14] fit: 0.42750 | delta: 1.5e-04 | secs: 17.57824
INFO : RESCAL : [ 15] fit: 0.42763 | delta: 1.3e-04 | secs: 17.35943
INFO : RESCAL : [ 16] fit: 0.42774 | delta: 1.1e-04 | secs: 17.47241
INFO : RESCAL : [ 17] fit: 0.42783 | delta: 9.2e-05 | secs: 17.85043
INFO : RESCAL : [ 18] fit: 0.42791 | delta: 7.9e-05 | secs: 17.53614
INFO : RESCAL : [ 19] fit: 0.42798 | delta: 6.8e-05 | secs: 17.53403
[Fold 2] AUC-PR: 0.976801
INFO : RESCAL : [  0] fit: 0.28919 | delta: 2.9e-01 | secs: 17.51194
INFO : RESCAL : [  1] fit: 0.40098 | delta: 1.1e-01 | secs: 17.33791
INFO : RESCAL : [  2] fit: 0.41363 | delta: 1.3e-02 | secs: 17.64102
INFO : RESCAL : [  3] fit: 0.41831 | delta: 4.7e-03 | secs: 17.81137
INFO : RESCAL : [  4] fit: 0.42063 | delta: 2.3e-03 | secs: 17.20678
INFO : RESCAL : [  5] fit: 0.42211 | delta: 1.5e-03 | secs: 17.57219
INFO : RESCAL : [  6] fit: 0.42307 | delta: 9.5e-04 | secs: 17.84793
INFO : RESCAL : [  7] fit: 0.42366 | delta: 5.9e-04 | secs: 17.20275
INFO : RESCAL : [  8] fit: 0.42402 | delta: 3.6e-04 | secs: 17.60107
INFO : RESCAL : [  9] fit: 0.42431 | delta: 2.9e-04 | secs: 17.72577
INFO : RESCAL : [ 10] fit: 0.42456 | delta: 2.5e-04 | secs: 17.00166
INFO : RESCAL : [ 11] fit: 0.42479 | delta: 2.3e-04 | secs: 17.87715
INFO : RESCAL : [ 12] fit: 0.42500 | delta: 2.0e-04 | secs: 16.85223
INFO : RESCAL : [ 13] fit: 0.42518 | delta: 1.8e-04 | secs: 17.54579
INFO : RESCAL : [ 14] fit: 0.42533 | delta: 1.6e-04 | secs: 16.79884
INFO : RESCAL : [ 15] fit: 0.42548 | delta: 1.4e-04 | secs: 18.20141
INFO : RESCAL : [ 16] fit: 0.42560 | delta: 1.2e-04 | secs: 17.11078
INFO : RESCAL : [ 17] fit: 0.42571 | delta: 1.1e-04 | secs: 16.88504
INFO : RESCAL : [ 18] fit: 0.42581 | delta: 9.9e-05 | secs: 18.01350
INFO : RESCAL : [ 19] fit: 0.42590 | delta: 9.2e-05 | secs: 17.31048
[Fold 3] AUC-PR: 0.978368
INFO : RESCAL : [  0] fit: 0.28736 | delta: 2.9e-01 | secs: 17.05753
INFO : RESCAL : [  1] fit: 0.40063 | delta: 1.1e-01 | secs: 17.84849
INFO : RESCAL : [  2] fit: 0.41375 | delta: 1.3e-02 | secs: 16.95756
INFO : RESCAL : [  3] fit: 0.41837 | delta: 4.6e-03 | secs: 17.71817
INFO : RESCAL : [  4] fit: 0.42061 | delta: 2.2e-03 | secs: 17.62033
INFO : RESCAL : [  5] fit: 0.42193 | delta: 1.3e-03 | secs: 16.94753
INFO : RESCAL : [  6] fit: 0.42287 | delta: 9.4e-04 | secs: 17.68907
INFO : RESCAL : [  7] fit: 0.42359 | delta: 7.2e-04 | secs: 17.86016
INFO : RESCAL : [  8] fit: 0.42413 | delta: 5.4e-04 | secs: 17.65998
INFO : RESCAL : [  9] fit: 0.42455 | delta: 4.2e-04 | secs: 17.40980
INFO : RESCAL : [ 10] fit: 0.42490 | delta: 3.5e-04 | secs: 17.03644
INFO : RESCAL : [ 11] fit: 0.42519 | delta: 2.9e-04 | secs: 17.67822
INFO : RESCAL : [ 12] fit: 0.42542 | delta: 2.3e-04 | secs: 17.67275
INFO : RESCAL : [ 13] fit: 0.42561 | delta: 1.9e-04 | secs: 16.93177
INFO : RESCAL : [ 14] fit: 0.42577 | delta: 1.6e-04 | secs: 17.90214
INFO : RESCAL : [ 15] fit: 0.42591 | delta: 1.4e-04 | secs: 16.94914
