[Threads] Utilisation de 12 thread(s) sur 64 disponibles
[Reprise] Mode force active : les combinaisons deja presentes seront recalculees
=== DATASET: fb15k237 | rank:200 | lambda_A:0.1 | lambda_R:0.1 ===
[Config] maxIter:20 | conv:1.0e-06 | threads:12
[Data]   n_entities:14541 | n_relations:237 | total_nnz:310116
[Data]   nnz:310116 | import_time:0.04 s
[Eval]   positifs:2000 | neg/pos:1 | folds:10 | mode:cross-validation CSR echantillonnee
INFO : RESCAL : [  0] fit: 0.29256 | delta: 2.9e-01 | secs: 21.37186
INFO : RESCAL : [  1] fit: 0.40273 | delta: 1.1e-01 | secs: 21.67084
INFO : RESCAL : [  2] fit: 0.41499 | delta: 1.2e-02 | secs: 21.84082
INFO : RESCAL : [  3] fit: 0.41950 | delta: 4.5e-03 | secs: 21.80991
INFO : RESCAL : [  4] fit: 0.42192 | delta: 2.4e-03 | secs: 21.34271
INFO : RESCAL : [  5] fit: 0.42341 | delta: 1.5e-03 | secs: 21.28319
INFO : RESCAL : [  6] fit: 0.42435 | delta: 9.4e-04 | secs: 21.40419
INFO : RESCAL : [  7] fit: 0.42499 | delta: 6.5e-04 | secs: 24.86710
INFO : RESCAL : [  8] fit: 0.42542 | delta: 4.3e-04 | secs: 21.61833
INFO : RESCAL : [  9] fit: 0.42576 | delta: 3.4e-04 | secs: 24.93075
INFO : RESCAL : [ 10] fit: 0.42604 | delta: 2.8e-04 | secs: 21.57374
INFO : RESCAL : [ 11] fit: 0.42630 | delta: 2.6e-04 | secs: 24.91924
INFO : RESCAL : [ 12] fit: 0.42654 | delta: 2.5e-04 | secs: 21.54895
INFO : RESCAL : [ 13] fit: 0.42679 | delta: 2.5e-04 | secs: 24.63582
INFO : RESCAL : [ 14] fit: 0.42702 | delta: 2.3e-04 | secs: 21.62584
INFO : RESCAL : [ 15] fit: 0.42721 | delta: 1.9e-04 | secs: 25.19465
INFO : RESCAL : [ 16] fit: 0.42735 | delta: 1.4e-04 | secs: 21.65512
INFO : RESCAL : [ 17] fit: 0.42747 | delta: 1.2e-04 | secs: 25.02206
INFO : RESCAL : [ 18] fit: 0.42757 | delta: 1.0e-04 | secs: 21.63606
INFO : RESCAL : [ 19] fit: 0.42766 | delta: 9.3e-05 | secs: 24.83296
[Fold 0] AUC-PR: 0.972874
INFO : RESCAL : [  0] fit: 0.29202 | delta: 2.9e-01 | secs: 21.71716
INFO : RESCAL : [  1] fit: 0.40373 | delta: 1.1e-01 | secs: 24.88129
INFO : RESCAL : [  2] fit: 0.41692 | delta: 1.3e-02 | secs: 22.03095
INFO : RESCAL : [  3] fit: 0.42158 | delta: 4.7e-03 | secs: 25.16401
INFO : RESCAL : [  4] fit: 0.42368 | delta: 2.1e-03 | secs: 21.83456
INFO : RESCAL : [  5] fit: 0.42491 | delta: 1.2e-03 | secs: 25.02130
INFO : RESCAL : [  6] fit: 0.42578 | delta: 8.7e-04 | secs: 22.15492
INFO : RESCAL : [  7] fit: 0.42644 | delta: 6.6e-04 | secs: 25.06304
INFO : RESCAL : [  8] fit: 0.42696 | delta: 5.2e-04 | secs: 22.18618
INFO : RESCAL : [  9] fit: 0.42739 | delta: 4.3e-04 | secs: 24.99823
INFO : RESCAL : [ 10] fit: 0.42776 | delta: 3.7e-04 | secs: 21.87941
INFO : RESCAL : [ 11] fit: 0.42807 | delta: 3.1e-04 | secs: 24.76919
INFO : RESCAL : [ 12] fit: 0.42834 | delta: 2.7e-04 | secs: 22.05221
INFO : RESCAL : [ 13] fit: 0.42857 | delta: 2.3e-04 | secs: 25.23597
INFO : RESCAL : [ 14] fit: 0.42878 | delta: 2.1e-04 | secs: 22.09849
INFO : RESCAL : [ 15] fit: 0.42897 | delta: 1.9e-04 | secs: 25.11805
INFO : RESCAL : [ 16] fit: 0.42913 | delta: 1.7e-04 | secs: 21.80362
INFO : RESCAL : [ 17] fit: 0.42928 | delta: 1.5e-04 | secs: 24.63925
INFO : RESCAL : [ 18] fit: 0.42941 | delta: 1.2e-04 | secs: 22.07574
INFO : RESCAL : [ 19] fit: 0.42951 | delta: 1.0e-04 | secs: 25.00702
[Fold 1] AUC-PR: 0.984938
INFO : RESCAL : [  0] fit: 0.29353 | delta: 2.9e-01 | secs: 21.99289
INFO : RESCAL : [  1] fit: 0.40628 | delta: 1.1e-01 | secs: 25.47056
INFO : RESCAL : [  2] fit: 0.41908 | delta: 1.3e-02 | secs: 22.17233
INFO : RESCAL : [  3] fit: 0.42382 | delta: 4.7e-03 | secs: 24.74656
INFO : RESCAL : [  4] fit: 0.42619 | delta: 2.4e-03 | secs: 21.71605
INFO : RESCAL : [  5] fit: 0.42761 | delta: 1.4e-03 | secs: 24.34493
INFO : RESCAL : [  6] fit: 0.42850 | delta: 8.9e-04 | secs: 21.56710
INFO : RESCAL : [  7] fit: 0.42916 | delta: 6.6e-04 | secs: 24.84407
INFO : RESCAL : [  8] fit: 0.42968 | delta: 5.2e-04 | secs: 22.25616
INFO : RESCAL : [  9] fit: 0.43011 | delta: 4.3e-04 | secs: 25.11287
INFO : RESCAL : [ 10] fit: 0.43047 | delta: 3.6e-04 | secs: 22.13915
INFO : RESCAL : [ 11] fit: 0.43079 | delta: 3.2e-04 | secs: 24.94028
INFO : RESCAL : [ 12] fit: 0.43108 | delta: 2.8e-04 | secs: 22.14920
INFO : RESCAL : [ 13] fit: 0.43131 | delta: 2.4e-04 | secs: 24.85128
INFO : RESCAL : [ 14] fit: 0.43151 | delta: 2.0e-04 | secs: 21.89674
INFO : RESCAL : [ 15] fit: 0.43167 | delta: 1.7e-04 | secs: 25.31655
INFO : RESCAL : [ 16] fit: 0.43182 | delta: 1.5e-04 | secs: 22.23769
INFO : RESCAL : [ 17] fit: 0.43195 | delta: 1.3e-04 | secs: 25.07339
INFO : RESCAL : [ 18] fit: 0.43207 | delta: 1.2e-04 | secs: 21.93773
INFO : RESCAL : [ 19] fit: 0.43217 | delta: 1.0e-04 | secs: 24.76733
[Fold 2] AUC-PR: 0.983190
INFO : RESCAL : [  0] fit: 0.29169 | delta: 2.9e-01 | secs: 21.49915
INFO : RESCAL : [  1] fit: 0.40453 | delta: 1.1e-01 | secs: 24.81392
INFO : RESCAL : [  2] fit: 0.41698 | delta: 1.2e-02 | secs: 22.24153
INFO : RESCAL : [  3] fit: 0.42159 | delta: 4.6e-03 | secs: 25.11032
INFO : RESCAL : [  4] fit: 0.42389 | delta: 2.3e-03 | secs: 22.19244
INFO : RESCAL : [  5] fit: 0.42512 | delta: 1.2e-03 | secs: 24.67608
INFO : RESCAL : [  6] fit: 0.42582 | delta: 7.0e-04 | secs: 21.56704
INFO : RESCAL : [  7] fit: 0.42630 | delta: 4.8e-04 | secs: 24.90630
INFO : RESCAL : [  8] fit: 0.42668 | delta: 3.8e-04 | secs: 21.91247
INFO : RESCAL : [  9] fit: 0.42699 | delta: 3.2e-04 | secs: 25.03614
INFO : RESCAL : [ 10] fit: 0.42727 | delta: 2.7e-04 | secs: 21.87269
INFO : RESCAL : [ 11] fit: 0.42751 | delta: 2.4e-04 | secs: 25.15728
INFO : RESCAL : [ 12] fit: 0.42773 | delta: 2.2e-04 | secs: 21.86378
INFO : RESCAL : [ 13] fit: 0.42793 | delta: 2.1e-04 | secs: 24.71248
INFO : RESCAL : [ 14] fit: 0.42812 | delta: 1.9e-04 | secs: 22.01625
INFO : RESCAL : [ 15] fit: 0.42830 | delta: 1.8e-04 | secs: 25.10971
INFO : RESCAL : [ 16] fit: 0.42846 | delta: 1.6e-04 | secs: 21.74952
INFO : RESCAL : [ 17] fit: 0.42860 | delta: 1.4e-04 | secs: 24.78183
INFO : RESCAL : [ 18] fit: 0.42873 | delta: 1.3e-04 | secs: 21.89522
INFO : RESCAL : [ 19] fit: 0.42885 | delta: 1.2e-04 | secs: 24.95025
[Fold 3] AUC-PR: 0.964663
INFO : RESCAL : [  0] fit: 0.29154 | delta: 2.9e-01 | secs: 22.08826
INFO : RESCAL : [  1] fit: 0.40279 | delta: 1.1e-01 | secs: 24.73881
INFO : RESCAL : [  2] fit: 0.41559 | delta: 1.3e-02 | secs: 22.09321
INFO : RESCAL : [  3] fit: 0.42019 | delta: 4.6e-03 | secs: 24.94285
INFO : RESCAL : [  4] fit: 0.42243 | delta: 2.2e-03 | secs: 21.94327
INFO : RESCAL : [  5] fit: 0.42367 | delta: 1.2e-03 | secs: 25.04680
INFO : RESCAL : [  6] fit: 0.42438 | delta: 7.1e-04 | secs: 22.22631
INFO : RESCAL : [  7] fit: 0.42488 | delta: 5.0e-04 | secs: 24.91298
INFO : RESCAL : [  8] fit: 0.42526 | delta: 3.8e-04 | secs: 21.65832
INFO : RESCAL : [  9] fit: 0.42555 | delta: 2.9e-04 | secs: 24.79538
INFO : RESCAL : [ 10] fit: 0.42578 | delta: 2.3e-04 | secs: 22.27824
INFO : RESCAL : [ 11] fit: 0.42597 | delta: 1.9e-04 | secs: 25.00372
INFO : RESCAL : [ 12] fit: 0.42612 | delta: 1.5e-04 | secs: 21.58833
INFO : RESCAL : [ 13] fit: 0.42626 | delta: 1.3e-04 | secs: 25.14673
INFO : RESCAL : [ 14] fit: 0.42637 | delta: 1.2e-04 | secs: 21.51732
INFO : RESCAL : [ 15] fit: 0.42648 | delta: 1.1e-04 | secs: 24.66026
