[Threads] Utilisation de 42 thread(s) sur 64 disponibles
[Reprise] Mode force active : les combinaisons deja presentes seront recalculees
=== DATASET: fb15k237 | rank:200 | lambda_A:0.1 | lambda_R:0.1 ===
[Config] maxIter:20 | conv:1.0e-06 | threads:42
[Data]   n_entities:14541 | n_relations:237 | total_nnz:310116
[Data]   nnz:310116 | import_time:0.04 s
[Eval]   positifs:2000 | neg/pos:1 | folds:10 | mode:cross-validation CSR echantillonnee
INFO : RESCAL : [  0] fit: 0.28910 | delta: 2.9e-01 | secs: 18.81948
INFO : RESCAL : [  1] fit: 0.40056 | delta: 1.1e-01 | secs: 19.06490
INFO : RESCAL : [  2] fit: 0.41364 | delta: 1.3e-02 | secs: 19.09259
INFO : RESCAL : [  3] fit: 0.41847 | delta: 4.8e-03 | secs: 18.97079
INFO : RESCAL : [  4] fit: 0.42065 | delta: 2.2e-03 | secs: 19.03422
INFO : RESCAL : [  5] fit: 0.42188 | delta: 1.2e-03 | secs: 18.65352
INFO : RESCAL : [  6] fit: 0.42271 | delta: 8.4e-04 | secs: 18.76928
INFO : RESCAL : [  7] fit: 0.42334 | delta: 6.3e-04 | secs: 18.81597
INFO : RESCAL : [  8] fit: 0.42384 | delta: 5.0e-04 | secs: 19.32461
INFO : RESCAL : [  9] fit: 0.42423 | delta: 3.9e-04 | secs: 18.52395
INFO : RESCAL : [ 10] fit: 0.42454 | delta: 3.1e-04 | secs: 19.24662
INFO : RESCAL : [ 11] fit: 0.42480 | delta: 2.5e-04 | secs: 18.69713
INFO : RESCAL : [ 12] fit: 0.42501 | delta: 2.1e-04 | secs: 19.19653
INFO : RESCAL : [ 13] fit: 0.42519 | delta: 1.8e-04 | secs: 19.18215
INFO : RESCAL : [ 14] fit: 0.42535 | delta: 1.6e-04 | secs: 19.13412
INFO : RESCAL : [ 15] fit: 0.42549 | delta: 1.4e-04 | secs: 18.92434
INFO : RESCAL : [ 16] fit: 0.42562 | delta: 1.3e-04 | secs: 19.22783
INFO : RESCAL : [ 17] fit: 0.42574 | delta: 1.2e-04 | secs: 18.79729
INFO : RESCAL : [ 18] fit: 0.42584 | delta: 1.1e-04 | secs: 19.26060
INFO : RESCAL : [ 19] fit: 0.42594 | delta: 9.8e-05 | secs: 19.05333
[Fold 0] AUC-PR: 0.991628
INFO : RESCAL : [  0] fit: 0.29492 | delta: 2.9e-01 | secs: 18.77887
INFO : RESCAL : [  1] fit: 0.40760 | delta: 1.1e-01 | secs: 18.89838
INFO : RESCAL : [  2] fit: 0.42033 | delta: 1.3e-02 | secs: 18.59241
INFO : RESCAL : [  3] fit: 0.42490 | delta: 4.6e-03 | secs: 21.84103
INFO : RESCAL : [  4] fit: 0.42723 | delta: 2.3e-03 | secs: 18.96846
INFO : RESCAL : [  5] fit: 0.42864 | delta: 1.4e-03 | secs: 21.50119
INFO : RESCAL : [  6] fit: 0.42957 | delta: 9.3e-04 | secs: 18.46821
INFO : RESCAL : [  7] fit: 0.43023 | delta: 6.6e-04 | secs: 21.51378
INFO : RESCAL : [  8] fit: 0.43068 | delta: 4.5e-04 | secs: 19.22613
INFO : RESCAL : [  9] fit: 0.43098 | delta: 3.0e-04 | secs: 21.28283
INFO : RESCAL : [ 10] fit: 0.43122 | delta: 2.4e-04 | secs: 18.59094
INFO : RESCAL : [ 11] fit: 0.43142 | delta: 2.0e-04 | secs: 19.13843
INFO : RESCAL : [ 12] fit: 0.43161 | delta: 1.8e-04 | secs: 18.81526
INFO : RESCAL : [ 13] fit: 0.43177 | delta: 1.6e-04 | secs: 19.09297
INFO : RESCAL : [ 14] fit: 0.43192 | delta: 1.5e-04 | secs: 18.92547
INFO : RESCAL : [ 15] fit: 0.43205 | delta: 1.3e-04 | secs: 18.86908
INFO : RESCAL : [ 16] fit: 0.43217 | delta: 1.2e-04 | secs: 19.07491
INFO : RESCAL : [ 17] fit: 0.43228 | delta: 1.1e-04 | secs: 21.66862
INFO : RESCAL : [ 18] fit: 0.43238 | delta: 9.8e-05 | secs: 18.91245
INFO : RESCAL : [ 19] fit: 0.43247 | delta: 8.8e-05 | secs: 21.26412
[Fold 1] AUC-PR: 0.985504
INFO : RESCAL : [  0] fit: 0.29086 | delta: 2.9e-01 | secs: 18.44002
INFO : RESCAL : [  1] fit: 0.40417 | delta: 1.1e-01 | secs: 18.77387
INFO : RESCAL : [  2] fit: 0.41721 | delta: 1.3e-02 | secs: 18.75510
INFO : RESCAL : [  3] fit: 0.42243 | delta: 5.2e-03 | secs: 21.80118
INFO : RESCAL : [  4] fit: 0.42507 | delta: 2.6e-03 | secs: 18.90125
INFO : RESCAL : [  5] fit: 0.42658 | delta: 1.5e-03 | secs: 21.45533
INFO : RESCAL : [  6] fit: 0.42751 | delta: 9.3e-04 | secs: 18.67815
INFO : RESCAL : [  7] fit: 0.42818 | delta: 6.7e-04 | secs: 21.12763
INFO : RESCAL : [  8] fit: 0.42867 | delta: 4.9e-04 | secs: 19.13403
INFO : RESCAL : [  9] fit: 0.42905 | delta: 3.8e-04 | secs: 21.33672
INFO : RESCAL : [ 10] fit: 0.42934 | delta: 2.9e-04 | secs: 18.66363
INFO : RESCAL : [ 11] fit: 0.42958 | delta: 2.4e-04 | secs: 21.29803
INFO : RESCAL : [ 12] fit: 0.42979 | delta: 2.0e-04 | secs: 18.98562
INFO : RESCAL : [ 13] fit: 0.42997 | delta: 1.8e-04 | secs: 21.78636
INFO : RESCAL : [ 14] fit: 0.43012 | delta: 1.6e-04 | secs: 18.49320
INFO : RESCAL : [ 15] fit: 0.43026 | delta: 1.4e-04 | secs: 21.42926
INFO : RESCAL : [ 16] fit: 0.43038 | delta: 1.2e-04 | secs: 18.54774
INFO : RESCAL : [ 17] fit: 0.43049 | delta: 1.1e-04 | secs: 21.33151
INFO : RESCAL : [ 18] fit: 0.43059 | delta: 1.0e-04 | secs: 18.62454
INFO : RESCAL : [ 19] fit: 0.43068 | delta: 9.0e-05 | secs: 21.74993
[Fold 2] AUC-PR: 0.985238
INFO : RESCAL : [  0] fit: 0.28826 | delta: 2.9e-01 | secs: 19.13917
INFO : RESCAL : [  1] fit: 0.40091 | delta: 1.1e-01 | secs: 18.94612
INFO : RESCAL : [  2] fit: 0.41396 | delta: 1.3e-02 | secs: 18.55055
INFO : RESCAL : [  3] fit: 0.41865 | delta: 4.7e-03 | secs: 21.30963
INFO : RESCAL : [  4] fit: 0.42098 | delta: 2.3e-03 | secs: 18.59066
INFO : RESCAL : [  5] fit: 0.42229 | delta: 1.3e-03 | secs: 21.57355
INFO : RESCAL : [  6] fit: 0.42297 | delta: 6.8e-04 | secs: 18.75730
INFO : RESCAL : [  7] fit: 0.42341 | delta: 4.4e-04 | secs: 21.62982
INFO : RESCAL : [  8] fit: 0.42374 | delta: 3.3e-04 | secs: 18.84595
INFO : RESCAL : [  9] fit: 0.42401 | delta: 2.7e-04 | secs: 19.25482
INFO : RESCAL : [ 10] fit: 0.42423 | delta: 2.3e-04 | secs: 18.97588
INFO : RESCAL : [ 11] fit: 0.42444 | delta: 2.0e-04 | secs: 21.50920
INFO : RESCAL : [ 12] fit: 0.42461 | delta: 1.8e-04 | secs: 18.92422
INFO : RESCAL : [ 13] fit: 0.42477 | delta: 1.6e-04 | secs: 21.58413
INFO : RESCAL : [ 14] fit: 0.42491 | delta: 1.4e-04 | secs: 18.73072
INFO : RESCAL : [ 15] fit: 0.42503 | delta: 1.2e-04 | secs: 21.21187
INFO : RESCAL : [ 16] fit: 0.42514 | delta: 1.1e-04 | secs: 18.66773
INFO : RESCAL : [ 17] fit: 0.42523 | delta: 9.7e-05 | secs: 21.59112
INFO : RESCAL : [ 18] fit: 0.42532 | delta: 8.5e-05 | secs: 18.82676
INFO : RESCAL : [ 19] fit: 0.42540 | delta: 7.8e-05 | secs: 21.76080
[Fold 3] AUC-PR: 0.975975
INFO : RESCAL : [  0] fit: 0.29059 | delta: 2.9e-01 | secs: 18.55794
INFO : RESCAL : [  1] fit: 0.40647 | delta: 1.2e-01 | secs: 18.80477
INFO : RESCAL : [  2] fit: 0.41931 | delta: 1.3e-02 | secs: 18.99058
INFO : RESCAL : [  3] fit: 0.42390 | delta: 4.6e-03 | secs: 21.24896
INFO : RESCAL : [  4] fit: 0.42605 | delta: 2.1e-03 | secs: 18.80426
INFO : RESCAL : [  5] fit: 0.42728 | delta: 1.2e-03 | secs: 18.97252
INFO : RESCAL : [  6] fit: 0.42805 | delta: 7.7e-04 | secs: 18.48276
INFO : RESCAL : [  7] fit: 0.42858 | delta: 5.3e-04 | secs: 18.96489
INFO : RESCAL : [  8] fit: 0.42896 | delta: 3.7e-04 | secs: 18.89416
INFO : RESCAL : [  9] fit: 0.42922 | delta: 2.7e-04 | secs: 19.11916
INFO : RESCAL : [ 10] fit: 0.42942 | delta: 2.0e-04 | secs: 18.86596
INFO : RESCAL : [ 11] fit: 0.42960 | delta: 1.8e-04 | secs: 18.80148
INFO : RESCAL : [ 12] fit: 0.42976 | delta: 1.6e-04 | secs: 18.50117
INFO : RESCAL : [ 13] fit: 0.42990 | delta: 1.5e-04 | secs: 19.61778
INFO : RESCAL : [ 14] fit: 0.43003 | delta: 1.3e-04 | secs: 18.76193
INFO : RESCAL : [ 15] fit: 0.43015 | delta: 1.2e-04 | secs: 19.19850
